,Contract ID,Bid Rank,Vendor ID,PercentOfEstimates,ParticipantsCount,Unnamed: 8
690,MM4013,6,692A,5.347185,6,
692,C13756,1,692A,0.541929,5,
693,C13756,2,232A,0.583267,5,
694,C13756,3,417A,0.76134,5,
695,C13756,4,084A,0.794415,5,
696,C13756,5,435A,0.891776,5,
698,C13503,1,179A,0.931049,4,
699,C13503,2,982A,1.086648,4,
700,C13503,3,162A,1.139272,4,
701,C13503,4,595A,1.469371,4,
703,C13504,1,2003A,0.736469,5,
704,C13504,2,1058A,0.89374,5,
705,C13504,3,982A,0.942815,5,
706,C13504,4,060A,1.125567,5,
707,C13504,5,997A,1.157783,5,
709,C13434,1,163A,1.034651,2,
710,C13434,2,091A,1.217655,2,
712,C13931,1,505A,0.675238,5,
713,C13931,2,160A,0.695195,5,
714,C13931,3,295A,0.710167,5,
715,C13931,4,163A,0.721703,5,
716,C13931,5,005A,0.806233,5,
718,C13352,1,924A,0.92075,5,
719,C13352,2,065A,0.9833,5,
720,C13352,3,692A,1.025761,5,
721,C13352,4,032A,1.110177,5,
722,C13352,5,159C,1.191114,5,
724,C12724,1,503F,0.98568,4,
725,C12724,2,802A,1.099492,4,
726,C12724,3,1146A,1.100231,4,
727,C12724,4,1062A,1.281171,4,
729,C13936,1,295A,0.821576,4,
730,C13936,2,505A,0.915123,4,
731,C13936,3,005A,1.031431,4,
732,C13936,4,160A,1.042327,4,
734,C13735,1,150B,0.90934,5,
735,C13735,2,032A,0.936451,5,
736,C13735,3,017A,0.952836,5,
737,C13735,4,028B,0.984271,5,
738,C13735,5,159C,0.999453,5,
740,C12487,1,373A,0.877982,10,
741,C12487,2,696A,0.965049,10,
742,C12487,3,065A,0.98893,10,
743,C12487,4,1011A,1.043785,10,
744,C12487,5,692A,1.045356,10,
745,C12487,6,150B,1.163529,10,
746,C12487,7,232A,1.169918,10,
747,C12487,8,159C,1.222541,10,
748,C12487,9,854A,1.234764,10,
749,C12487,10,865A,1.239281,10,
751,C13792,1,1010A,0.924178,6,
752,C13792,2,997A,1.14505,6,
753,C13792,3,162A,1.17913,6,
754,C13792,4,697A,1.280735,6,
755,C13792,5,1202A,1.468933,6,
756,C13792,6,1233A,1.869913,6,
758,C13551,1,505A,0.807106,7,
759,C13551,2,005A,0.811067,7,
760,C13551,3,160A,0.872528,7,
761,C13551,4,091A,0.90591,7,
762,C13551,5,163A,0.95734,7,
763,C13551,6,159C,1.140906,7,
764,C13551,7,381A,1.161912,7,
766,C12394,1,169A,0.962637,9,
767,C12394,2,160A,0.968241,9,
768,C12394,3,790A,0.986936,9,
769,C12394,4,903A,1.035261,9,
770,C12394,5,696A,1.074006,9,
771,C12394,6,164A,1.079515,9,
772,C12394,7,870A,1.088036,9,
773,C12394,8,159C,1.170422,9,
774,C12394,9,562A,1.179483,9,
776,C12609,1,160A,1.049964,8,
777,C12609,2,409A,1.076718,8,
778,C12609,3,279A,1.077045,8,
779,C12609,4,084A,1.137558,8,
780,C12609,5,767A,1.17027,8,
781,C12609,6,159C,1.193399,8,
782,C12609,7,674A,1.198148,8,
783,C12609,8,1100A,1.246038,8,
785,C12124,1,1089A,0.812897,8,
786,C12124,2,674A,0.98923,8,
787,C12124,3,005A,1.019362,8,
788,C12124,4,417A,1.037287,8,
789,C12124,5,903A,1.050915,8,
790,C12124,6,053D,1.085355,8,
791,C12124,7,767A,1.111185,8,
792,C12124,8,279A,1.236527,8,
794,RR91309,1,1230A,0.643698,3,
795,RR91309,2,1196A,0.83995,3,
796,RR91309,3,1068A,1.985612,3,
798,C13946,1,908A,0.915638,5,
799,C13946,2,997A,0.972562,5,
800,C13946,3,1098A,0.981548,5,
801,C13946,4,697A,1.027204,5,
802,C13946,5,1095A,1.031524,5,
804,C13788,1,766C,1.004826,3,
805,C13788,2,163A,1.031106,3,
806,C13788,3,159C,1.193144,3,
808,C13984,1,697A,1.337132,3,
809,C13984,2,064A,1.444536,3,
810,C13984,3,720A,1.541932,3,
812,MM6010,1,163A,0.882446,2,
813,MM6010,2,159C,0.936196,2,
815,MM4016,1,1165T,1.036881,1,
817,C13761,1,997A,1.147981,3,
818,C13761,2,697A,1.275865,3,
819,C13761,3,908A,1.421974,3,
821,C12287,1,884A,0.901374,10,
822,C12287,2,011A,0.952515,10,
823,C12287,3,870A,0.965243,10,
824,C12287,4,924A,0.983574,10,
825,C12287,5,164A,0.98372,10,
826,C12287,6,1275A,1.006869,10,
827,C12287,7,159C,1.014509,10,
828,C12287,8,232A,1.033067,10,
829,C12287,9,163A,1.104555,10,
830,C12287,10,169A,1.11104,10,
832,C13804,1,870A,1.044558,5,
833,C13804,2,696A,1.063079,5,
834,C13804,3,164A,1.081594,5,
835,C13804,4,159C,1.144143,5,
836,C13804,5,169A,1.160217,5,
838,C14071,1,1224T,0.997042,4,
839,C14071,2,968A,1.106378,4,
840,C14071,3,232A,1.173251,4,
841,C14071,4,084A,1.173527,4,
843,C14134,1,005A,0.896585,5,
844,C14134,2,505A,0.923307,5,
845,C14134,3,245B,0.929545,5,
846,C14134,4,091A,0.996061,5,
847,C14134,5,159C,1.116702,5,
849,C12800,1,767A,1.284162,2,
850,C12800,2,091A,1.673201,2,
852,C13775,1,692A,1.166496,5,
853,C13775,2,796A,1.181318,5,
854,C13775,3,503F,1.204954,5,
855,C13775,4,903A,1.207553,5,
856,C13775,5,276A,1.25624,5,
858,MM1018,1,1098A,0.639803,8,
859,MM1018,2,697A,0.648021,8,
860,MM1018,3,1235A,0.655149,8,
861,MM1018,4,1025A,0.679947,8,
862,MM1018,5,1200A,0.686984,8,
863,MM1018,6,720A,0.76768,8,
864,MM1018,7,908A,0.788243,8,
865,MM1018,8,503F,0.998122,8,
867,MM2009,1,1286A,0.97254,5,
868,MM2009,2,159C,1.050205,5,
869,MM2009,3,1289A,1.133846,5,
870,MM2009,4,232A,1.363609,5,
871,MM2009,5,720A,1.728196,5,
873,C12605,1,011A,0.802496,8,
874,C12605,2,169A,0.849675,8,
875,C12605,3,084A,0.867387,8,
876,C12605,4,053D,0.898087,8,
877,C12605,5,696A,0.938312,8,
878,C12605,6,232A,0.946805,8,
879,C12605,7,968A,0.974216,8,
880,C12605,8,099H,1.001521,8,
882,MM4024,1,232A,0.814025,9,
883,MM4024,2,692A,0.919009,9,
884,MM4024,3,903A,0.955481,9,
885,MM4024,4,801A,0.976043,9,
886,MM4024,5,169A,0.977198,9,
887,MM4024,6,1283A,1.020342,9,
